Views,Post_Date,Description,Hashtags,Music,Likes,Comments,Shares,Saves,Engagement_Rate,Total_Engagement,Gemini_Keywords
3017,2025-03-13 09:59:09,"Hayo Siapa disini yang hari ini mungkin ngerasa hidupnya lagi berat? Mungkin kamu butuh tempat bercerita, Yuk sharing di kolom komentar. Buat kamu yang punya pertanyaan lain untuk ustad @Irfan Rizki  boleh dikomen juga ya 🩵",-,original sound  - msglow.beauty,190,0,0,0,6.297646668876366,190,[]
10500,2025-03-12 19:59:40,Siap glowing sebelum lebaran ❤️ #msglow  #msglowbeauty  ,"#msglow , #msglowbeauty ",Marhaban Ya Ramadan - Lux-Inspira,220,6,7,8,2.2952380952380955,241,"[""glowing"", ""lebaran"", ""msglow"", ""msglowbeauty""]"
4331,2025-03-12 20:00:11,Replying to @Itsourthings  kata siapa acne prone skin gabisa ikutan trend makeup kayak habis mandii? pake Acne Zone BB Premium dari MSGLOW ajaaa cocok banget untuk kulit sensitif dan berjerawat🤩✨💖 #MSGLOWBEAUTY  ,#MSGLOWBEAUTY ,Kyoto City Night - SPEARS69 & Satria Petir & Eko Ardian,172,1,10,4,4.317709535903949,187,"[""acne prone skin"", ""trend makeup"", ""Acne Zone BB Premium"", ""MSGLOW"", ""kulit sensitif"", ""berjerawat"", ""MSGLOWBEAUTY""]"
8127,2025-03-12 20:00:42,Siapa yang udah cobain White Forte Body Lotion dari MSGLOW?? yuk absen di kolom komentar🤩🤩✨ #MSGLOWBEAUTY  #msglow  ,"#MSGLOWBEAUTY , #msglow ",original sound  - msglow.beauty,197,3,22,6,2.80546327057955,228,"[""White Forte Body Lotion"", ""MSGLOW"", ""MSGLOWBEAUTY""]"
11600,2025-03-11 20:01:13,Klo dikepala kamu kira2 pas skincarean lagi mikirin apa? Komen dibawah dong 😍🩵 #msglow  #msglowbeauty  ,"#msglow , #msglowbeauty ",original sound  - msglow.beauty,249,2,17,5,2.353448275862069,273,"[""skincarean"", ""msglow"", ""msglowbeauty""]"
10600,2025-03-11 20:01:44,"MSGLOW bukan hanya sekedar produk skincare terbaik di Indonesia, tapi MSGLOW jg punya misi untuk meningkatkan value wanita-wanita diluar sana dan  pastinya  saling memberikan nilai kebermanfaatan untuk masyarakat sekitar 🩵 #msglow  #womenwithvalue  #hariperempuansedunia  #hariperempuaninternasional  #womensday  ","#msglow , #womenwithvalue , #hariperempuansedunia , #hariperempuaninternasional , #womensday ",Dramatic and emotional cinemate(1329076) - Art Music Style,282,7,0,10,2.8207547169811322,299,"[""skincare"", ""terbaik"", ""wanita"", ""value"", ""kebermanfaatan"", ""msglow""]"
7591,2025-03-11 20:02:16,Outfit check masuk ke ruang produksi harus tetap steril ya beauties 🤩  #MSGlowBeauty  #MSGlow  #Skincare  #AmanTerpercaya  #KembaliKeMSGLOW  #glowing  ,"#MSGlowBeauty , #MSGlow , #Skincare , #AmanTerpercaya , #KembaliKeMSGLOW , #glowing ",original sound  - msglow.beauty,221,3,0,1,2.964036358846002,225,"[""steril"", ""skincare"", ""aman"", ""terpercaya"", ""glowing"", ""msglowbeauty"", ""msglow""]"
124300,2025-03-11 20:02:47,Dibulan puasa ini bukan cuman fokus untuk glowingkan diri tapi juga wajib buat glowingkan hati... yuk tulis di kolom komen kira2 kamu mau nanya apa nih ke ustad @Irfan Rizki   🙏🏻✨ #msglow  #msglowbeauty  #ustadirfan  ,"#msglow , #msglowbeauty , #ustadirfan ",original sound  - msglow.beauty,245,0,5,2,0.20273531777956558,252,"[""glowingkan"", ""diri"", ""hati"", ""puasa"", ""msglow"", ""msglowbeauty""]"
9325,2025-03-11 20:03:18,Disini MSGLOW ngajak semua selleernya untuk terjun langsung melihat produksi produk2 MSGLOW 🩵 dan membuktikan bahwa produk2 MSGLOW ini terjamin aman dan di produksi di negara sendiri ✨#msglow  #eliteglowbal   ,"#msglow , #eliteglowbal ",original sound  - msglow.beauty,260,0,3,2,2.841823056300268,265,"[""produksi"", ""terjamin"", ""aman"", ""msglow"", ""eliteglowbal""]"
2642,2025-03-11 20:03:49,Next mau tanya minglow apa lagi nih? Komen dibawah 🩵 #whitecelldna  #msglow   #msglowbeauty  ,"#whitecelldna , #msglow , #msglowbeauty ",original sound  - msglow.beauty,191,0,5,2,7.494322482967449,198,"[""whitecelldna"", ""msglow"", ""msglowbeauty"", ""tanya"", ""minglow""]"
8340,2025-03-11 20:04:20,Bener bener bikin melongo deh MSGlow Beauty ternyata punya mesin secanggih ini 🥹😱😱   #MSGlowBeauty  #MSGlow  #Skincare  #AmanTerpercaya  ,"#MSGlowBeauty , #MSGlow , #Skincare , #AmanTerpercaya ",original sound  - msglow.beauty,198,0,5,3,2.470023980815348,206,"[""MSGlow"", ""MSGlowBeauty"", ""Skincare"", ""AmanTerpercaya"", ""mesin"", ""canggih""]"
4854,2025-03-10 20:04:50,Visit Factory MSGlow Beauty Team Eliteglowbal di Kosme Surabaya nihh yuhuuu ❤️‍🔥❤️‍🔥  #MSGlowBeauty  #MSGlow  #Skincare  #AmanTerpercaya  ,"#MSGlowBeauty , #MSGlow , #Skincare , #AmanTerpercaya ",original sound  - msglow.beauty,180,2,5,1,3.873094355170993,188,"[""MSGlow"", ""MSGlowBeauty"", ""Skincare"", ""AmanTerpercaya"", ""Factory"", ""Kosme"", ""Surabaya""]"
8585,2025-03-10 20:05:22,Lets get ready with us for Acne Prone Skin! 💚✨ #msglowbeauty  #MSGLOWBEAUTY  ,"#msglowbeauty , #MSGLOWBEAUTY ",original sound  - msglow.beauty,205,1,23,7,2.7489807804309843,236,"[""Acne Prone Skin"", ""MSGlowBeauty"", ""get ready"", ""skin"", ""acne""]"
7572,2025-03-10 20:05:54,Sunscreen ini bener bener enak banget dijadiin susncreen favorite di tahun ini 🩵 texturenya gentle dan ringan bikin kulit wajah jadi lebih terasa terproteksi dari sinar matahari ✨ #msglowbeauty  #sunwhitemsglow  ,"#msglowbeauty , #sunwhitemsglow ",original sound  - msglow.beauty,223,5,4,2,3.0903328050713155,234,"[""Sunscreen"", ""sunwhite"", ""MSGlowBeauty"", ""texture"", ""gentle"", ""ringan"", ""terproteksi""]"
