URL,Video_ID,Username,Views,Thumbnail,Post_Date,Crawl_Date,Date_Text,Description,Hashtags,Music,Likes,Comments,Shares,Saves
https://www.tiktok.com/@somethincofficial/video/7474265596268498184,7474265596268498184,somethincofficial,251.7K,https://p16-sign-sg.tiktokcdn.com/obj/tos-alisg-p-0037/os55jeQdPEoAIADw7EcF8CzEIeDAylAO5AfuPP?lk3s=81f88b70&x-expires=1742025600&x-signature=MeaBjHqNSAO1n1gVCNw8TchTyIU%3D&shp=81f88b70&shcp=-,2025-02-22,2025-03-13 15:36:06,2-22,"𝐅𝐎𝐑𝐄𝐕𝐄𝐑 𝐎𝐍 𝐏𝐋𝐀𝐘, 𝐅𝐎𝐑𝐄𝐕𝐄𝐑 𝐎𝐍 𝐒𝐓𝐀𝐘 💋🎶  Meet: 𝙁𝙤𝙧𝙚𝙫𝙚𝙧 𝙎𝙩𝙖𝙮 𝘾𝙤𝙢𝙛𝙤𝙧𝙩 𝙇𝙞𝙥 𝙂𝙡𝙖𝙯𝙚 – Your NEW playlips for unbeatable hydration & unstoppable lip action! ♬ Transferproof, Kissproof, Smudgeproof ♬ With Hyalubloom™️ to hydrate & fade lip lines ♬ Extremely lightweight & comfortable ♬ 24H* high pigmentation, cover dark & two toned lips ♬ Non-crack & Non-sticky ♬ Innovative auto-swivel applicator  Ready to rock those 3D Glazed Lips? 🫦🎸 Shop the 9 stunning shades exclusively at Somethinc Official Shopee!  *Based on consumer test",N/A,original sound  - Somethinc Official,2255,58,92,88
https://www.tiktok.com/@somethincofficial/video/7364973178856262918,7364973178856262918,somethincofficial,8M,https://p16-sign-va.tiktokcdn.com/tos-maliva-p-0068/9f16a5163b9e4e419f668a62e5e7d249_1714791450~tplv-dmt-logom:tos-useast2a-v-0068/oA9WQoAMIEkY1eABaSmErDCCNQSHJzAfQAdFBR.image?lk3s=81f88b70&x-expires=1742025600&x-signature=6iCZ2%2FgD7%2BCKKW8oaOPUnJL5w08%3D&shp=81f88b70&shcp=-,2024-05-04,2025-03-13 15:36:37,2024-5-4,Moisturizer pilihan Afgan! Skin barrier bermasalah? #KaleminAja ! 💚🍃 #Somethinc  #PakaiSomethinc  #BrandofTheMonth  ,"#KaleminAja , #Somethinc , #PakaiSomethinc , #BrandofTheMonth ",original sound  - Somethinc Official,10.3K,91,690,1073
https://www.tiktok.com/@somethincofficial/video/7467412249196514567,7467412249196514567,somethincofficial,257.4K,https://p16-sign-sg.tiktokcdn.com/obj/tos-alisg-p-0037/oAhoBLfDQIktRRnEFJJOFocZDCeAQEPAFAAoQg?lk3s=81f88b70&x-expires=1742025600&x-signature=bpU41fZV040lpdIE7wlq57ayJII%3D&shp=81f88b70&shcp=-,2025-02-04,2025-03-13 15:37:10,2-4,"Cleanse, Moisturize & Nourish ✨  Meet OMEGA DEEP CLEANSING BALM. Next-gen first cleansers that melt away waterproof makeup, sunscreen & impurities in 20 seconds! Gentle, non-stripping, non-drying & packed with antioxidant-rich Sea Buckthorn. Melt like butter, nourish like no other  Explore the range: • OMEGA BUTTER DEEP CLEANSING BALM: Buttery-to-milky oil texture, rich & 10x nourishing • OMEGA JELLY DEEP CLEANSING BALM: Jelly-to-milky oil texture, light & nourishing  NOW AVAILABLE Exclusively on Shopee Somethinc Official! #Somethinc  #SomethincBalm  #SomethincJelly  ","#Somethinc , #SomethincBalm , #SomethincJelly ",original sound  - Somethinc Official,271,19,37,32
https://www.tiktok.com/@somethincofficial/video/7481197484174331144,7481197484174331144,somethincofficial,1487,https://p16-sign-sg.tiktokcdn.com/obj/tos-alisg-p-0037/ogXuEjF4AroeXE2SDADAIrpfjbPAjEDIAREqfp?lk3s=81f88b70&x-expires=1742025600&x-signature=7bxdm1hXvbTC8FliFXR%2F%2FFMcoAU%3D&shp=81f88b70&shcp=-,2025-03-13,2025-03-13 15:37:41,50m ago,Udah pertengahan puasa tapi kamu masih bingung cari tempat bukber? Sini Minthinc rekomendasiin! 💜✨ #Somethinc  #PakaiSomethinc  #RamadanEkstraSeru  ,"#Somethinc , #PakaiSomethinc , #RamadanEkstraSeru ",Marhaban Ya Ramadan - TonsTone,15,0,Share,2
https://www.tiktok.com/@somethincofficial/video/7481161676482481416,7481161676482481416,somethincofficial,3594,https://p16-sign-sg.tiktokcdn.com/obj/tos-alisg-p-0037/oke3SAhADAEIACAqfQGfoPIPpEAnmbjZNLoIDp?lk3s=81f88b70&x-expires=1742025600&x-signature=sWQXB6x9mYOC7z5BnMVq7CUZSVg%3D&shp=81f88b70&shcp=-,2025-03-13,2025-03-13 15:38:12,3h ago,Siapa yang begini juga? Pas mepet buka baru kerasa banget😭 #somethinc  #pakaisomethinc  ,"#somethinc , #pakaisomethinc ",ok its got a little kick - rose 🥀🪻,15,1,3,1
https://www.tiktok.com/@somethincofficial/video/7481134764506877200,7481134764506877200,somethincofficial,3922,https://p16-sign-sg.tiktokcdn.com/obj/tos-alisg-p-0037/o0gibCBOEPIKDpANOfyYSIS5zJAVTBv06AiwAA?lk3s=81f88b70&x-expires=1742025600&x-signature=EpLPN%2Bxeb7BTxliAuNdYgR43Ft0%3D&shp=81f88b70&shcp=-,2025-03-13,2025-03-13 15:38:45,4h ago,Things I Would NEVER DO as a Skincare Formulator🧪✨ #Somethinc  #PakaiSomethinc  #ramadanekstraseru  ,"#Somethinc , #PakaiSomethinc , #ramadanekstraseru ",Suns - Official Sound Studio,17,1,Share,1
https://www.tiktok.com/@somethincofficial/video/7481116688784592146,7481116688784592146,somethincofficial,4416,https://p16-sign-sg.tiktokcdn.com/obj/tos-alisg-p-0037/osDAIABFiALA6RSKAIojABVCY6bEIKAfwzSQXi?lk3s=81f88b70&x-expires=1742025600&x-signature=ACw1HGZtyjCWNxoW1QPF0oUJiUA%3D&shp=81f88b70&shcp=-,2025-03-13,2025-03-13 15:39:16,6h ago,"Setuju gak nih sama Minthinc? Kalau Review jujur itu boleh, tapi jangan untuk menjatuhkan ya🥰 #somethinc  #pakaisomethinc  ","#somethinc , #pakaisomethinc ",Cute - Aurel Surya Lie,34,0,2,0
https://www.tiktok.com/@somethincofficial/video/7480946975253236997,7480946975253236997,somethincofficial,12.6K,https://p16-sign-va.tiktokcdn.com/obj/tos-maliva-p-0068/oQnYGn1UdaQIBi3ph9qOEoPiiqZDBjZAARAEA?lk3s=81f88b70&x-expires=1742025600&x-signature=ACGb%2B8tT6QfmaGqcWPHgLHWw%2BVA%3D&shp=81f88b70&shcp=-,2025-03-13,2025-03-13 15:39:48,17h ago,Boy essentials🫵🫵 #SkincareCowok  #Somethinc  #PakaiSomethinc  ,"#SkincareCowok , #Somethinc , #PakaiSomethinc ",оригинальный звук - db.,85,0,2,3
https://www.tiktok.com/@somethincofficial/video/7480895409779428613,7480895409779428613,somethincofficial,25.4K,https://p16-sign-va.tiktokcdn.com/obj/tos-maliva-p-0068/oEAYevCJGQGsKieWAHLASxjBREe9PACIIug1Io?lk3s=81f88b70&x-expires=1742025600&x-signature=2RpF3ZALTODkA2XNsEZNf23UE7Y%3D&shp=81f88b70&shcp=-,2025-03-13,2025-03-13 15:40:21,20h ago,Kalau menurut kalian yang penting apa Squad?? WKWK #SkincareCowok  #Somethinc  #PakaiSomethinc  ,"#SkincareCowok , #Somethinc , #PakaiSomethinc ",original sound - GRWM/HAULS😝,219,15,12,9
https://www.tiktok.com/@somethincofficial/video/7480830358531951888,7480830358531951888,somethincofficial,11.7K,https://p16-sign-sg.tiktokcdn.com/obj/tos-alisg-p-0037/oUtfEKq8mBA5PuApAJizAIzADChwaBD6Igv8Ri?lk3s=81f88b70&x-expires=1742025600&x-signature=CBVfOqcM%2BHbjKvcPWl%2FjIo9kc5s%3D&shp=81f88b70&shcp=-,2025-03-13,2025-03-13 15:40:52,1d ago,"Jangan Asal Double Cleansing! Nih, cara yang benar😍#somethinc  #pakaisomethinc  ","#somethinc , #pakaisomethinc ",Dongdada - Official Sound Studio,72,2,25,20
