Views,Post_Date,Description,Hashtags,Music,Likes,Comments,Shares,Saves,Engagement_Rate,Total_Engagement,Gemini_Keywords
6561,2025-03-03 00:00:00,"‼️DANCE CHALLENGE RAMADAN‼️  🎁Menangkan hadiah exclusive mulai dari 1 tahun bodycare gratis sampai 1 handphone😱  🗣️Challenge ini  bisa kamu ikuti di TikTok loh!  Syaratnya gampang, cukup ikuti langkah-langkah di bawah ini:  💜 Cara Ikutan: 1️⃣ Buat video dance sesuai kreativitas kamu dengan lagu Ramadhan Happy & Pretty  2️⃣ Upload di Instagram/TikTok (Reels/Feed/Story). 3️⃣ Mention & Follow @scarlettofficial @scarlettbeautyverse. Dan tiktok @scarlett_whitening 4️⃣ Gunakan hashtag: #HappyAndPrettyChallenge  #ManisnyaRamadhan  5️⃣ Tag 3 temanmu buat ikut challenge ini!  Yuk, berseri lahir batin & happy selama Ramadan! 🌙✨ Join now & let’s dance! 💃🏻 #HappyAndPrettyChallenge ","#HappyAndPrettyChallenge , #ManisnyaRamadhan , #HappyAndPrettyChallenge ",Ramadan Happy & Pretty - Scarlett Official,54,13,3,4,1.1278768480414572,74,"[""bodycare"", ""gratis"", ""hadiah"", ""challenge"", ""scarlettofficial"", ""scarlettbeautyverse"", ""tiktok""]"
677,2025-03-13 17:29:33,"Introducing Scarlett x Jenahara Nasution NEW! Perfume Banana Fusion  🍌Floral, Musky, Vanilla 🕐Wangi tahan lebih lama  💫Wellness Scentz™️ technology yang meningkatkan positivitas pada diri agar lebih percaya diri dan optimis  Ramadan yang hangat dan ceria dengan Banana Fusion #ManisnyaRamadan ",#ManisnyaRamadan ,original sound  - Scarlett Whitening Official,7,0,1,0,1.1816838995568686,8,"[""Perfume"", ""Banana Fusion"", ""Jenahara Nasution"", ""tahan lama"", ""Wellness Scentz"", ""percaya diri"", ""scarlett""]"
516,2025-03-13 17:30:04,"Scarlett promo dari 580rb, cuma jadi 60rban per pcs!?!   Ada banyak freebiesnya lagi😱 #SuperBrandDay",-,original sound  - Scarlett Whitening Official,4,0,0,0,0.7751937984496124,4,"[""promo"", ""Scarlett"", ""freebies"", ""murah"", ""SuperBrandDay"", ""diskon"", ""60rban""]"
563,2025-03-13 16:30:35,"Parfum Scarlett ada yang baru?  Yuk cobain Caramel latte, banana fusion .. jadi 60rban dari 75rb  #SuperBrandDay",-,original sound  - Scarlett Whitening Official,12,0,1,1,2.4866785079928952,14,"[""Parfum"", ""Scarlett"", ""baru"", ""Caramel latte"", ""banana fusion"", ""SuperBrandDay"", ""60rban""]"
1126,2025-03-13 16:31:09,Scarlett lagi sedekah ya? sebanyak ini cuma 40rban aja! #SuperBrandDay,-,original sound  - Scarlett Whitening Official,15,0,0,0,1.3321492007104796,15,"[""Scarlett"", ""murah"", ""40rban"", ""SuperBrandDay"", ""promo"", ""banyak"", ""sedekah""]"
2221,2025-03-13 13:31:40,"Dikira 75RIBU, padahal harganya cuma...🤫  Yang tau-tau aja ya👀 #SuperBrandDay",-,original sound  - Scarlett Whitening Official,14,0,0,0,0.6303466906798739,14,"[""SuperBrandDay"", ""harga"", ""produk"", ""murah"", ""promo""]"
2749,2025-03-13 10:32:11,"Kalo aku kasih kamu produk ini, kamu mau kasih produknya ke siapa?   #SuperBrandDay",-,original sound  - Scarlett Whitening Official,18,0,0,0,0.65478355765733,18,"[""SuperBrandDay"", ""produk"", ""kasih"", ""kamu"", ""siapa""]"
12000,2025-03-12 18:32:42,"Pelajaran di bulan Ramadan ini:  Jangan gampang emosi, sabar dalam tiap keadaan dan meminta maaf tidak akan membuat kita jadi rendah🤍  #ManisnyaRamadan",-,original sound  - Scarlett Whitening Official,56,0,1,5,0.5166666666666666,62,"[""Ramadan"", ""emosi"", ""sabar"", ""maaf"", ""rendah""]"
5481,2025-03-12 18:33:13,Duit abis karena checkout produk Scarlett di Super Brand Day 422Rb dapat 10 item😍  Go checkout now! #SuperBrandDay,-,original sound  - Scarlett Whitening Official,40,0,0,2,0.7662835249042145,42,"[""SuperBrandDay"", ""Scarlett"", ""checkout"", ""produk"", ""diskon"", ""item""]"
3935,2025-03-12 18:33:45,Cara menjaga kulit kering dari ruangan ber AC? Coba pakai Scarlett AHA Body Serum yang bikin kulit lembap dan membuat kulit jadi lebh halus. Yuk checkout sekarang🛍 #SuperBrandDay,-,original sound  - Scarlett Whitening Official,17,2,0,1,0.5082592121982211,20,"[""kulit kering"", ""ruangan ber-AC"", ""Scarlett"", ""AHA Body Serum"", ""lembap"", ""halus"", ""SuperBrandDay""]"
