Views,Post_Date,Description,Hashtags,Music,Likes,Comments,Shares,Saves,Engagement_Rate,Total_Engagement,Gemini_Keywords
251700,2025-02-22 00:00:00,"𝐅𝐎𝐑𝐄𝐕𝐄𝐑 𝐎𝐍 𝐏𝐋𝐀𝐘, 𝐅𝐎𝐑𝐄𝐕𝐄𝐑 𝐎𝐍 𝐒𝐓𝐀𝐘 💋🎶  Meet: 𝙁𝙤𝙧𝙚𝙫𝙚𝙧 𝙎𝙩𝙖𝙮 𝘾𝙤𝙢𝙛𝙤𝙧𝙩 𝙇𝙞𝙥 𝙂𝙡𝙖𝙯𝙚 – Your NEW playlips for unbeatable hydration & unstoppable lip action! ♬ Transferproof, Kissproof, Smudgeproof ♬ With Hyalubloom™️ to hydrate & fade lip lines ♬ Extremely lightweight & comfortable ♬ 24H* high pigmentation, cover dark & two toned lips ♬ Non-crack & Non-sticky ♬ Innovative auto-swivel applicator  Ready to rock those 3D Glazed Lips? 🫦🎸 Shop the 9 stunning shades exclusively at Somethinc Official Shopee!  *Based on consumer test",-,original sound  - Somethinc Official,2255,58,92,88,0.9904648390941597,2493,"[""hydration"", ""Hyalubloom"", ""lip lines"", ""pigmentation"", ""3D Glazed Lips"", ""transferproof"", ""kissproof""]"
1487,2025-03-13 14:47:41,Udah pertengahan puasa tapi kamu masih bingung cari tempat bukber? Sini Minthinc rekomendasiin! 💜✨ #Somethinc  #PakaiSomethinc  #RamadanEkstraSeru  ,"#Somethinc , #PakaiSomethinc , #RamadanEkstraSeru ",Marhaban Ya Ramadan - TonsTone,15,0,0,2,1.1432414256893073,17,"[""Somethinc"", ""PakaiSomethinc"", ""RamadanEkstraSeru"", ""bukber"", ""rekomendasi""]"
3594,2025-03-13 12:38:12,Siapa yang begini juga? Pas mepet buka baru kerasa banget😭 #somethinc  #pakaisomethinc  ,"#somethinc , #pakaisomethinc ",ok its got a little kick - rose 🥀🪻,15,1,3,1,0.5564830272676683,20,"[""somethinc"", ""pakaisomethinc"", ""buka"", ""puasa""]"
3922,2025-03-13 11:38:45,Things I Would NEVER DO as a Skincare Formulator🧪✨ #Somethinc  #PakaiSomethinc  #ramadanekstraseru  ,"#Somethinc , #PakaiSomethinc , #ramadanekstraseru ",Suns - Official Sound Studio,17,1,0,1,0.4844467108618052,19,"[""Skincare Formulator"", ""Somethinc"", ""PakaiSomethinc"", ""ramadanekstraseru"", ""skincare""]"
4416,2025-03-13 09:39:16,"Setuju gak nih sama Minthinc? Kalau Review jujur itu boleh, tapi jangan untuk menjatuhkan ya🥰 #somethinc  #pakaisomethinc  ","#somethinc , #pakaisomethinc ",Cute - Aurel Surya Lie,34,0,2,0,0.8152173913043478,36,"[""Review"", ""jujur"", ""menjatuhkan"", ""somethinc"", ""pakaisomethinc""]"
12600,2025-03-12 22:39:48,Boy essentials🫵🫵 #SkincareCowok  #Somethinc  #PakaiSomethinc  ,"#SkincareCowok , #Somethinc , #PakaiSomethinc ",оригинальный звук - db.,85,0,2,3,0.7142857142857143,90,"[""SkincareCowok"", ""Somethinc"", ""PakaiSomethinc"", ""Boy"", ""essentials""]"
25400,2025-03-12 19:40:21,Kalau menurut kalian yang penting apa Squad?? WKWK #SkincareCowok  #Somethinc  #PakaiSomethinc  ,"#SkincareCowok , #Somethinc , #PakaiSomethinc ",original sound - GRWM/HAULS😝,219,15,12,9,1.0039370078740157,255,"[""SkincareCowok"", ""Somethinc"", ""PakaiSomethinc"", ""Squad"", ""penting""]"
11700,2025-03-12 15:40:52,"Jangan Asal Double Cleansing! Nih, cara yang benar😍#somethinc  #pakaisomethinc  ","#somethinc , #pakaisomethinc ",Dongdada - Official Sound Studio,72,2,25,20,1.0170940170940173,119,"[""Double Cleansing"", ""somethinc"", ""pakaisomethinc"", ""cara"", ""benar""]"
10900,2025-03-12 15:41:23,Ritual H-18 Lebaran biar kulit cerah & glowing! ✨😍 #somethinc  #pakaisomethinc  ,"#somethinc , #pakaisomethinc ",оригинальный звук - joyful.prod,26,0,7,6,0.35779816513761464,39,"[""Lebaran"", ""kulit cerah"", ""glowing"", ""somethinc"", ""pakaisomethinc"", ""ritual""]"
18100,2025-03-12 15:41:54,"Satu serum bisa buat kulit halus, mulus & awet muda💉✨ #Somethinc  #PakaiSomethinc  #RamadanEkstraSeru  ","#Somethinc , #PakaiSomethinc , #RamadanEkstraSeru ",som original - JansenGato,187,4,9,38,1.3149171270718232,238,"[""serum"", ""kulit halus"", ""mulus"", ""awet muda"", ""Somethinc"", ""PakaiSomethinc""]"
11900,2025-03-12 15:42:25,Skin barrier rusak?! Kalemin aja pake Calm Down Moisturizer🤩💚✨ #Somethinc  #PakaiSomethinc  ,"#Somethinc , #PakaiSomethinc ","Funny video ""Carmen Prelude"" Arranging weakness(836530) - yo suzuki(akisai)",109,3,7,6,1.050420168067227,125,"[""Skin barrier"", ""rusak"", ""Calm Down"", ""Moisturizer"", ""Somethinc""]"
4988,2025-03-12 15:42:57,Wajah fresh & hati adem!💦✨ #Somethinc  #PakaiSomethinc  #RamadhanEkstraSeru   ,"#Somethinc , #PakaiSomethinc , #RamadhanEkstraSeru ",Ramadan Kareem - Megan Yagami,21,0,3,3,0.541299117882919,27,"[""Wajah fresh"", ""adem"", ""Somethinc"", ""Ramadhan"", ""skincare""]"
17900,2025-03-12 15:43:29,"Cukup kamu yang haus, kulitnya jangan🫵🫵 #SkincareCowok  #Somethinc  #PakaiSomethinc  ","#SkincareCowok , #Somethinc , #PakaiSomethinc ",original sound  - ELM,59,1,6,4,0.3910614525139665,70,"[""haus"", ""kulit"", ""SkincareCowok"", ""Somethinc"", ""skincare"", ""hidrasi""]"
11600,2025-03-12 15:44:02,Lemes dikit gak ngaruh kan Squad? ☝️🥲 #SkincareCowok  #Somethinc  #PakaiSomethinc  ,"#SkincareCowok , #Somethinc , #PakaiSomethinc ",KU TAK TAU MENGAPA - ADMIN 🎧,50,3,13,4,0.603448275862069,70,"[""Lemes"", ""SkincareCowok"", ""Somethinc"", ""skincare""]"
13700,2025-03-12 15:44:34,Skin Concern Bumil🤰🏻 ini rekomendasi serum yang bisa dipakai!😍 #somethinc  #pakaisomethinc  ,"#somethinc , #pakaisomethinc ",Intergalactic Janet - Ley Soul,50,3,2,11,0.48175182481751827,66,"[""Skin Concern"", ""Bumil"", ""rekomendasi"", ""serum"", ""Somethinc"", ""skincare"", ""ibu hamil""]"
685000,2025-03-12 15:45:07,"Kalau begini, THR habis sebelum lebaran dong😭🫵🏻 #somethinc  #pakaisomethinc  ","#somethinc , #pakaisomethinc ",original sound - Eggo.vsp • Friends,6119,18,249,125,0.9505109489051095,6511,"[""somethinc"", ""pakaisomethinc"", ""THR"", ""lebaran""]"
24200,2025-03-11 15:45:38,Eksfoliasi jadi jauh lebih tenang 🫠🫠 #SkincareCowok  #Somethinc  #PakaiSomethinc  ,"#SkincareCowok , #Somethinc , #PakaiSomethinc ",suara asli  - for you,115,8,14,10,0.6074380165289256,147,"[""Eksfoliasi"", ""SkincareCowok"", ""Somethinc"", ""PakaiSomethinc"", ""tenang""]"
290900,2025-03-11 15:46:44,Berbuka lah dengan bersih bersih ☝️🥲 #Somethinc  #PakaiSomethinc  #SkincareCowok  ,"#Somethinc , #PakaiSomethinc , #SkincareCowok ",Originalton - قّ,924,53,41,68,0.3733241663801994,1086,"[""Berbuka"", ""bersih bersih"", ""Somethinc"", ""PakaiSomethinc"", ""SkincareCowok""]"
31400,2025-03-11 15:47:16,[SAVE] Ini dia contekan buat kalian yang mau layering Calm Down Moist & serum Somethinc✨ #Somethinc  #PakaiSomethinc  #ramadanekstraseru  ,"#Somethinc , #PakaiSomethinc , #ramadanekstraseru ",Revival - Dombresky & Noizu & Reblok,179,4,13,66,0.8343949044585988,262,"[""layering"", ""Calm Down Moist"", ""serum"", ""Somethinc"", ""PakaiSomethinc""]"
24500,2025-03-11 15:47:49,Bulan puasa gini emang harus pake yang kalem-kalem sih💚✨ #Somethinc  #PakaiSomethinc  ,"#Somethinc , #PakaiSomethinc ",Suns - Official Sound Studio,69,1,6,6,0.3346938775510204,82,"[""bulan puasa"", ""kalem-kalem"", ""Somethinc"", ""PakaiSomethinc""]"
